"country"	"beach"	"index"	"chl"
"1"	1	2.9	1.02489716276225
"1"	1	5.5	1.33794483073741
"1"	1	9.9	1.36881114705524
"1"	1	4	0.601120508735392
"1"	1	9.7	2.44755222542422
"1"	1	4.9	0.732345496662054
"1"	1	5.7	0.406260064349941
"1"	1	8.9	1.01966808611912
"1"	1	5.9	1.03253829036017
"1"	1	8.4	3.25501740828288
"1"	2	8.4	1.54299549569822
"1"	2	1.3	0.353176401953457
"1"	2	1.5	0.259627381981372
"1"	2	4.1	0.646052428451953
"1"	2	6.8	1.17836051826759
"1"	2	4.4	0.908723711748922
"1"	2	0.9	0.212940348594318
"1"	2	7.3	1.09220737460823
"1"	2	5.1	1.17776035912757
"1"	2	6.2	1.92686271471245
"1"	3	8.5	1.25077761104964
"1"	3	4.7	0.732162458202706
"1"	3	3.7	0.798853341001476
"1"	3	8	1.59645364903286
"1"	3	1.2	0.689935684957698
"1"	3	4.8	0.711087064241359
"1"	3	4	0.379682975494886
"1"	3	4.8	1.09528439782803
"1"	3	4.6	1.5044491496278
"1"	3	2.7	0.829287249374687
"1"	4	0.1	0.208488191269825
"1"	4	9.5	2.96892459588312
"1"	4	7.7	0.407107584985742
"1"	4	8.7	3.50693823388058
"1"	4	3.7	0.805177341195926
"1"	4	2.3	0.598044491298394
"1"	4	6	0.658555065782885
"1"	4	3.8	0.806450094882083
"1"	4	3.7	0.843781803388413
"1"	4	8.2	1.82592830358234
"1"	5	8.7	1.75523069128583
"1"	5	5.9	1.09397714941104
"1"	5	3.3	0.88512560993485
"1"	5	4	2.15423927442725
"1"	5	3.1	2.63052568869178
"1"	5	8.8	1.13901838697828
"1"	5	4.2	0.709954838539078
"1"	5	9.8	2.44276309123044
"1"	5	8.6	3.10966515908211
"1"	5	9.6	1.99834419168383
"2"	6	9.4	0.728303233433092
"2"	6	2.5	0.840365533860522
"2"	6	7.1	0.672284284840271
"2"	6	6.8	0.805142350313209
"2"	6	4.2	0.348933057911303
"2"	6	6.5	0.546420969564138
"2"	6	4.7	0.334191416387876
"2"	6	3.3	0.39796999084012
"2"	6	0.8	0.503197405305069
"2"	6	5.9	0.291779970103482
"2"	7	4.1	0.328459799196762
"2"	7	1.4	0.374131117582947
"2"	7	6.2	1.05945500276797
"2"	7	8.5	0.313245408897362
"2"	7	7.7	1.44865376517299
"2"	7	4.4	0.590333999998059
"2"	7	2.9	0.0896477475873285
"2"	7	0.6	0.860275544850035
"2"	7	10	0.81861684834832
"2"	7	8.5	0.354060403427996
"2"	8	5.2	0.326699637115778
"2"	8	2.2	0.565048543890397
"2"	8	1.9	0.320763083946572
"2"	8	1.9	0.299308745434228
"2"	8	8.4	0.812512116454815
"2"	8	6.9	0.283220772480168
"2"	8	1.7	0.17711097861138
"2"	8	1.4	0.588490662202324
"2"	8	4.1	0.472386752923627
"2"	8	4.7	0.380873599050072
"2"	9	7	0.493413496658919
"2"	9	6.2	0.43728479600936
"2"	9	6	0.175159823731682
"2"	9	9	0.633473197923889
"2"	9	1.1	0.266093140053473
"2"	9	8.5	1.10728108205709
"2"	9	3.1	0.620824305669546
"2"	9	4.4	1.32332503312026
"2"	9	6.2	0.273848291122699
"2"	9	5.4	0.567844163930795
"2"	10	9.6	0.905716161946597
"2"	10	9.8	0.26273455141565
"2"	10	4.9	0.637322965800373
"2"	10	5.9	0.570699508718827
"2"	10	9.1	0.366362981123241
"2"	10	3	0.487151517093936
"2"	10	2.5	0.616635864122562
"2"	10	2.4	0.332845581453711
"2"	10	2.9	0.931436024942073
"2"	10	0.4	0.155842561716402
"2"	11	9.5	0.398006568158871
"2"	11	8.2	0.592581131294642
"2"	11	5.2	0.311294332860783
"2"	11	4.4	0.478474005885559
"2"	11	8.9	0.454423760989696
"2"	11	9.9	0.278251190529756
"2"	11	9.6	0.979830941809829
"2"	11	4.2	0.392292542048962
"2"	11	7.5	0.498519058761725
"2"	11	2.2	0.512739921988058
"3"	12	7.6	0.782235468878056
"3"	12	2	0.550921758351014
"3"	12	5.6	0.513452934409821
"3"	12	6.7	0.561304586021226
"3"	12	2.8	0.745257055750927
"3"	12	5.8	0.660253384499814
"3"	12	4.7	0.487998801464367
"3"	12	9.5	1.06978929196427
"3"	12	7.2	0.800190227610191
"3"	12	8.8	0.572919476424513
"3"	13	9.1	0.787413017377588
"3"	13	5.3	0.469971757069878
"3"	13	7.4	0.714395651620905
"3"	13	8.4	2.4904388513037
"3"	13	0.2	0.348719966655555
"3"	13	0.8	0.25099550761776
"3"	13	2.5	0.784406606010813
"3"	13	7.5	0.374459797115103
"3"	13	3.3	0.539453410133588
"3"	13	4.4	0.841448475599525
"3"	14	9.1	0.610172621216978
"3"	14	4.1	1.03688846536364
"3"	14	6.1	0.509845255686991
"3"	14	6.9	0.532013009724551
"3"	14	2	0.686537780411623
"3"	14	5.2	0.839448418318457
"3"	14	6.9	1.04176368891093
"3"	14	7.6	0.991801807745956
"3"	14	4	0.609022193922735
"3"	14	7	2.36396736407161
"3"	15	0.7	0.0833678908774814
"3"	15	9.7	0.902444121040032
"3"	15	5.3	0.746803405822466
"3"	15	9.8	1.28444514849708
"3"	15	6	0.862350951445739
"3"	15	6.1	0.320295676627514
"3"	15	6.8	1.18737221799478
"3"	15	9.2	1.46388100584953
"3"	15	8.7	0.685299580301652
"3"	15	3.8	0.243094537663445
"3"	16	7.2	1.12767711624453
"3"	16	7.8	0.805024832145475
"3"	16	2.3	0.530447807007949
"3"	16	6.3	0.672612879550669
"3"	16	0.3	0.594603255050735
"3"	16	8.2	0.909970658727891
"3"	16	0.9	0.342448875674474
"3"	16	2.8	0.210589203279677
"3"	16	2.1	0.30972300607971
"3"	16	2.8	0.279717178715131
"4"	17	8.8	0.87762082845422
"4"	17	2.9	0.726831696082398
"4"	17	8.4	0.354376253705052
"4"	17	1.6	0.595637926195316
"4"	17	1.8	0.190439071252764
"4"	17	4	0.822822017952574
"4"	17	7.9	0.711138517697565
"4"	17	10	1.55240711787201
"4"	17	3.4	0.632909250545575
"4"	17	9.5	1.21770405959856
"4"	18	6.2	1.113631036042
"4"	18	4	2.15070609347629
"4"	18	9.5	0.467749911571335
"4"	18	9	1.03054115387409
"4"	18	3.8	0.786534598449654
"4"	18	5.6	0.400082583302501
"4"	18	7	0.602344400897435
"4"	18	5.4	0.577648711511159
"4"	18	5	0.499235849696827
"4"	18	1.8	0.481589335396095
"4"	19	7.1	0.921216393592195
"4"	19	5.9	0.962807233372673
"4"	19	4.1	0.471238810739411
"4"	19	1.7	0.964313290338127
"4"	19	1.4	0.947417882895717
"4"	19	5.6	1.81954224339398
"4"	19	4.7	0.531087177912075
"4"	19	5.5	0.77496444870274
"4"	19	6.3	0.65013174428197
"4"	19	6.2	0.805242833386596
"4"	20	8.1	0.531686899767738
"4"	20	5.3	0.716703848857687
"4"	20	6.4	3.2861922658415
"4"	20	5.3	0.323144762055392
"4"	20	0.2	0.473634725182294
"4"	20	6.5	0.810616065364482
"4"	20	1.8	0.630222371086134
"4"	20	9.6	0.621118155688284
"4"	20	2	0.538406981588105
"4"	20	4	0.281955127626242
"4"	21	8.3	0.91284698281443
"4"	21	1	0.146466330387949
"4"	21	9.6	0.497159979231637
"4"	21	8.9	1.56292033670723
"4"	21	2	0.318431263101064
"4"	21	1	0.456250610790094
"4"	21	3.3	0.652971726627541
"4"	21	4.7	0.987450580973026
"4"	21	9.5	0.856102448411157
"4"	21	5.3	1.02171461614924
"4"	22	5.9	1.34911432912737
"4"	22	5.8	0.537358842196366
