"index"	"chl"
8.8	0.87762082845422
2.9	0.726831696082398
8.4	0.354376253705052
1.6	0.595637926195316
1.8	0.190439071252764
4	0.822822017952574
7.9	0.711138517697565
10	1.55240711787201
3.4	0.632909250545575
9.5	1.21770405959856
6.2	1.113631036042
4	2.15070609347629
9.5	0.467749911571335
9	1.03054115387409
3.8	0.786534598449654
5.6	0.400082583302501
7	0.602344400897435
5.4	0.577648711511159
5	0.499235849696827
1.8	0.481589335396095
7.1	0.921216393592195
5.9	0.962807233372673
4.1	0.471238810739411
1.7	0.964313290338127
1.4	0.947417882895717
5.6	1.81954224339398
4.7	0.531087177912075
5.5	0.77496444870274
6.3	0.65013174428197
6.2	0.805242833386596
8.1	0.531686899767738
5.3	0.716703848857687
6.4	3.2861922658415
5.3	0.323144762055392
0.2	0.473634725182294
6.5	0.810616065364482
1.8	0.630222371086134
9.6	0.621118155688284
2	0.538406981588105
4	0.281955127626242
8.3	0.91284698281443
1	0.146466330387949
9.6	0.497159979231637
8.9	1.56292033670723
2	0.318431263101064
1	0.456250610790094
3.3	0.652971726627541
4.7	0.987450580973026
9.5	0.856102448411157
5.3	1.02171461614924
5.9	1.34911432912737
5.8	0.537358842196366
0	0.438060575273435
7.3	0.521112841404698
0.6	0.38348856421952
1.1	0.871015250381614
9.9	1.27782529844095
8.4	2.24448590470826
8.3	1.00660899304248
1.2	0.371039163755368
4	0.385332885351293
2	1.02719292175779
8.8	2.36238558434976
6.6	0.479866993258077
1.4	0.394631624673628
8.6	0.862095775807618
1.7	0.937259026039735
7	0.69151215719612
6.7	1.29705342466146
9.1	0.963635024321309
1.7	0.336273602210301
8	0.606157950321417
7.9	1.77021852724741
5	0.609250894010582
1.7	0.51329656514975
7.3	2.11618427481259
2.2	0.64427604102732
3.7	0.64908601986788
0.3	0.300741676472432
1.5	0.934491566251066
9.8	0.909448736134517
3.5	0.955529255098055
0.2	0.845047365390809
0.5	0.190795989243694
2	0.287421871548409
6.3	1.02643553726802
5	0.63049649075418
0.4	0.257709551227132
3.5	0.36051042316731
7.9	1.30666361231147
1.7	0.244594972902442
9.8	0.990807480343821
7.6	0.518493975910393
7.8	2.52417200925759
0.7	0.536953610923672
3.4	0.799270658482608
4.9	0.769897585018395
3.6	1.22537044660296
1.7	0.235563217859872
9.9	2.28870239553137
0.4	0.759920771130241
2.7	0.472358790415551
8.2	1.27763842033885
2.8	0.86984974172188
2.8	0.625140605723702
6.6	1.17308474237691
0.8	0.645421876711723
8.5	1.1335146983283
5.3	1.58107901907528
6.4	1.0979796441849
8	0.644359485157886
6.9	0.942842239445842
2.9	0.365223669301609
7.1	2.08804258033171
3.2	0.321748543727077
9.7	1.17123658636735
9.9	2.90601747457209
9.6	0.982070793713358
7	1.49167001440975
0.4	0.287550752432825
